Id,couse name,high school name,shcool type,shift,graduation year,has a PC at home,share this PC with other people at home,Internet,previous experience of any computer language,worked or interned before the degree,company name,year started working,year stopped working,started other degree programmes,degree course,institution name,year started this degree,year stoped this degree,sex,age,civil status,have kids
1305,Engenharia Mecânica,Colegio Batista Mineiro,1,full-time school,2015,1,1,1,1,0,n/a,n/a,n/a,0,n/a,n/a,n/a,n/a,1,21,single,0
1323,Estatística,Roberto dos Santos Vieira,0,afternoon shift,2015,1,0,1,0,1,SEDUC,2014,2015,0,n/a,n/a,n/a,n/a,0,3,single,0
1325,Estatística,Centro Federal de Educação Tecnolófica do Amazonas,-1,morning shift,2008,1,0,1,1,1,SEMED,2012,0,1,Ciência da Computação,UNINORTE,2014,2015,1,29,single,0
1330,Estatística,Escola Estadual Nossa Senhora Aparecida,0,afternoon shift,2014,1,1,1,1,0,n/a,n/a,n/a,0,n/a,n/a,n/a,n/a,0,22,single,0
1331,Estatística,Escola Estadual Homero de Miranda Leão,0,morning shift,2013,1,0,1,1,0,n/a,n/a,n/a,0,n/a,n/a,n/a,n/a,0,25,single,0
1338,Estatística,Angelo Ramazzotti,1,afternoon shift,2012,1,0,1,1,1,Semsa,2013,2014,1,Ciencia da computação,Fucapi,2014,2015,1,24,single,0
1345,Estatística,Centro de Ensino Literatus,1,morning shift,2013,1,0,1,1,1,Stilo Novo Clean,2014,2016,1,Engenharia Civil,-1,2013,2016,1,24,single,0
1346,Estatística,SESC José Roberto Tadros,1,afternoon shift,2013,0,0,0,1,1,Supermercados DB,2014,2016,1,Engenharia Civil,Unip,2015,2015,0,23,single,0
1350,Estatística,Aldeia do conhecimento,0,morning shift,2015,0,0,0,1,0,n/a,n/a,n/a,0,n/a,n/a,n/a,n/a,0,21,single,0
1356,Estatística,Instituto Batista Ida Nelson,1,morning shift,2014,1,0,1,1,0,n/a,n/a,n/a,1,psicologia,unip,2016,2016,0,23,single,0
1437,Estatística,Escola Estadual Sebastiana Braga,0,afternoon shift,2014,1,1,1,1,0,n/a,n/a,n/a,0,n/a,n/a,n/a,n/a,1,22,single,0
1448,Matemática - Licenciatura Noturno,"Escola Estadual de 1º e 2º grau ""São José""",0,night shift,1994,1,1,1,0,1,"""Multibrás da Amazônia """,1998,2006,0,n/a,n/a,n/a,n/a,1,43,married,1
1454,Estatística,Escola Estadual Presidente Castelo Branco,0,afternoon shift,2014,1,0,1,0,0,n/a,n/a,n/a,0,n/a,n/a,n/a,n/a,1,23,single,0
1462,Engenharia Mecânica,Escola Estadual Maria Amelia no Espírito Santo ,0,morning shift,2015,1,1,1,0,1,Sony Brasil Ltda.,2014,2015,0,n/a,n/a,n/a,n/a,1,21,single,0
1473,Estatística,Colégio Dom Bosco,1,morning shift,2013,1,0,0,0,0,n/a,n/a,n/a,0,n/a,n/a,n/a,n/a,0,23,single,0
1764,Estatística,Centro Educacional Santa Tereseinha ,1,morning shift,2015,0,0,0,0,0,n/a,n/a,n/a,0,n/a,n/a,n/a,n/a,1,22,single,0
1967,Sistemas de Informação,Escola Estadual José Mota,0,afternoon shift,2013,1,0,0,1,0,n/a,n/a,n/a,0,n/a,n/a,n/a,n/a,1,23,single,0
1968,Engenharia Mecânica,ESCOLA ESTADUAL SENADOR PETRONIO PORTELA,0,full-time school,2003,1,0,1,1,1,Elfe Manutenção industrial,2012,2015,1,Administração,Uninorte,2006,2009,1,34,single,0
