Id,couse name,high school name,shcool type,shift,graduation year,has a PC at home,share this PC with other people at home,Internet,previous experience of any computer language,worked or interned before the degree,company name,year started working,year stopped working,started other degree programmes,degree course,institution name,year started this degree,year stoped this degree,sex,age,civil status,have kids
1062,Sistemas de Informação,CMM,0,morning shift,2017,0,0,0,0,0,n/a,n/a,n/a,0,n/a,n/a,n/a,n/a,0,2,single,0
1231,Matemática - Bacharelado,Centro Educacional Silvia Guerra,1,morning shift,2015,1,0,1,1,0,n/a,n/a,n/a,0,n/a,n/a,n/a,n/a,1,21,single,0
1236,Matemática - Bacharelado,Centro de Referencia de tempo integral Marcantonio Vilaça,0,full-time school,2015,1,1,1,0,0,n/a,n/a,n/a,1,nutrição,Fametro,2016,2016,0,21,single,0
1964,Matemática Aplicada,professor waldock fryck de lyra,0,morning shift,2015,1,1,1,0,0,n/a,n/a,n/a,0,n/a,n/a,n/a,n/a,1,21,single,0
2156,Física - Bacharelado,Escola Estudal Dr. Isaac Sverner,0,afternoon shift,2015,0,0,0,0,1,Clinica Odontologica Ceprodonto,2014,2015,0,n/a,n/a,n/a,n/a,0,22,single,0
2848,Matemática Aplicada,SENADOR JOAO BOSCO RAMOS DE LIMA,0,afternoon shift,2016,1,1,1,0,1,SHOP DO PÉ,2015,2017,0,n/a,n/a,n/a,n/a,1,20,single,0
2849,Matemática Aplicada,WALDOCK FRICK DE LYRA,0,morning shift,2015,1,1,1,1,0,n/a,n/a,n/a,0,n/a,n/a,n/a,n/a,1,22,single,0
2850,Matemática Aplicada,GERENCIA DE EDUCAÇÃO DE JOVENS E ADULTOS,0,morning shift,2017,0,0,0,0,1,UFAM,2014,2016,0,n/a,n/a,n/a,n/a,1,21,single,0
2851,Matemática Aplicada,Escola Estadual Professor Waldock Frick de Lyra,0,morning shift,2015,1,0,1,0,0,n/a,n/a,n/a,0,n/a,n/a,n/a,n/a,0,21,single,0
2852,Matemática Aplicada,Escola Estadual Alice Salerno Gomes de Lima,0,afternoon shift,2016,1,0,1,1,0,n/a,n/a,n/a,0,n/a,n/a,n/a,n/a,1,21,single,0
2853,Matemática Aplicada,Colégio Militar Da Polícia Militar,0,morning shift,2016,0,0,0,0,0,n/a,n/a,n/a,0,n/a,n/a,n/a,n/a,0,20,single,0
2854,Matemática Aplicada,colegio militar da policia militar,0,morning shift,2016,1,0,1,1,0,n/a,n/a,n/a,0,n/a,n/a,n/a,n/a,1,19,single,0
2855,Matemática - Bacharelado,AUREA PINHEIRO BRAGA,0,full-time school,2016,1,0,1,0,0,n/a,n/a,n/a,0,n/a,n/a,n/a,n/a,1,20,single,0
