Id,couse name,high school name,shcool type,shift,graduation year,has a PC at home,share this PC with other people at home,Internet,previous experience of any computer language,worked or interned before the degree,company name,year started working,year stopped working,started other degree programmes,degree course,institution name,year started this degree,year stoped this degree,sex,age,civil status,have kids
1168,Engenharia de Materiais,CMM,0,morning shift,1994,0,0,0,0,0,n/a,n/a,n/a,0,n/a,n/a,n/a,n/a,1,18,married,0
1985,Engenharia de Materiais,Escola Estadual Frei Sílvio Vagheggi,0,afternoon shift,2012,1,0,1,1,1,Moto Honda da Amazônia Ltda. ,2010,2012,0,n/a,n/a,n/a,n/a,0,23,single,0
2040,Extra - Alunos desperiodizados,Colegio Isabel Flores de Oliva,1,morning shift,1978,1,0,1,1,1,varias,1982,1988,1,Ingenieria Industrial,Universidad de Lima,1979,1983,0,57,married,1
3142,Estatística,Escola Estadual Carmina de Cstro,0,afternoon shift,2017,1,0,1,0,0,n/a,n/a,n/a,0,n/a,n/a,n/a,n/a,1,18,single,0
3649,Engenharia Mecânica,CMM,0,morning shift,2002,0,0,0,0,0,n/a,n/a,n/a,0,n/a,n/a,n/a,n/a,1,20,single,0
3757,Geologia,josue claudio de souza,0,afternoon shift,2015,1,0,1,0,0,n/a,n/a,n/a,0,n/a,n/a,n/a,n/a,1,21,single,0
3758,Geologia,Escola Estadual Aldeia do Conhecimento ,0,morning shift,2016,1,1,1,0,0,n/a,n/a,n/a,1,LIc matematica,UEA,2017,2018,0,20,single,0
3759,Geologia,Colégio Brasileiro Pedro Silvestre,0,afternoon shift,2017,1,1,1,0,1,Thomas Greg & Sons do Brasil Ltda.,2016,2018,0,n/a,n/a,n/a,n/a,0,19,single,0
3760,Geologia,Áurea Pinheiro Braga,0,morning shift,2016,1,0,1,1,0,n/a,n/a,n/a,1,Engenharia de Petróleo e Gás,UFAM,2017,2017,1,19,single,0
3761,Geologia,CETI João dos Santos Braga,0,full-time school,2017,1,1,1,1,0,n/a,n/a,n/a,0,n/a,n/a,n/a,n/a,1,19,single,0
3762,Geologia,Estadual Senador João Bosco Ramos de Lima ,0,morning shift,2017,1,1,1,0,0,n/a,n/a,n/a,0,n/a,n/a,n/a,n/a,0,19,single,0
3763,Geologia,Escola Estadual Antonio Nunez Jimenez,0,afternoon shift,2016,0,0,0,0,0,n/a,n/a,n/a,0,n/a,n/a,n/a,n/a,1,21,single,0
3764,Geologia,colégio militar da polícia militar áurea pinheiro braga,0,morning shift,2017,0,0,0,1,0,n/a,n/a,n/a,0,n/a,n/a,n/a,n/a,1,19,single,0
3765,Geologia,Escola Estadual Porfessor Francisco Das Chagas Albuquerque,0,morning shift,2017,1,0,1,0,0,n/a,n/a,n/a,0,n/a,n/a,n/a,n/a,1,20,single,0
3766,Geologia,instituto batista do amazonas,1,morning shift,2017,1,0,1,0,0,n/a,n/a,n/a,0,n/a,n/a,n/a,n/a,0,19,single,0
3767,Geologia,escola estadual solon de de lucena,0,morning shift,2012,1,1,1,1,1,flex insdustries ,2014,2018,1,curso tecnologico em marketing ,faculdade uninassau,2017,2018,1,25,single,0
3768,Geologia,Escola Estadual Angelo Ramazzotti,0,night shift,2011,0,0,0,0,1,DNPM - Departamento Nacional de Produção Mineral,2009,2011,1,Engenharia Civil,-1,2012,2013,0,1,single,1
3769,Geologia,Solon de Lucena ,0,morning shift,2017,1,1,1,0,0,n/a,n/a,n/a,0,n/a,n/a,n/a,n/a,1,19,single,0
3770,Geologia,colégio militar de Manaus,0,morning shift,2017,1,1,1,0,0,n/a,n/a,n/a,0,n/a,n/a,n/a,n/a,0,22,single,0
3771,Geologia,Antogildo Pascoal Viana ,0,night shift,2017,1,0,1,0,0,n/a,n/a,n/a,0,n/a,n/a,n/a,n/a,0,20,single,0
3772,Geologia,CMPM,0,morning shift,2017,1,0,1,0,0,n/a,n/a,n/a,0,n/a,n/a,n/a,n/a,0,19,single,0
3773,Geologia,Frei Mario Monacelli,0,afternoon shift,2017,1,1,1,0,0,n/a,n/a,n/a,0,n/a,n/a,n/a,n/a,0,19,single,0
3774,Geologia,Escola Celus,1,morning shift,2017,1,1,1,0,0,n/a,n/a,n/a,0,n/a,n/a,n/a,n/a,0,19,single,0
3775,Geologia,Escola Estadual Aurea Pinheiro Braga,0,morning shift,2017,1,0,1,0,0,n/a,n/a,n/a,0,n/a,n/a,n/a,n/a,0,20,single,0
3777,Engenharia da Computação,EETI Sérgio Alfredo Pessoas Figueiredo,0,full-time school,2018,0,0,0,1,0,n/a,n/a,n/a,1,Direito,Uninorte,2017,2017,1,20,single,0
3781,Geologia,Instituto Federal do Amazonas - IFAM,-1,full-time school,2016,1,1,1,0,0,n/a,n/a,n/a,0,n/a,n/a,n/a,n/a,0,19,single,0
3782,Engenharia Elétrica,Colégio Militar da Polícia Militar,0,morning shift,2017,1,1,1,0,0,n/a,n/a,n/a,0,n/a,n/a,n/a,n/a,1,20,single,0
3785,Engenharia da Computação,Lato sensu ,1,full-time school,2011,1,0,1,1,0,n/a,n/a,n/a,0,n/a,n/a,n/a,n/a,1,27,single,0
3799,Geologia,CMPM I,0,morning shift,2018,1,0,1,0,0,n/a,n/a,n/a,0,n/a,n/a,n/a,n/a,1,1,single,0
3800,Ciência da Computação,sesc,1,afternoon shift,2017,1,1,1,0,0,n/a,n/a,n/a,0,n/a,n/a,n/a,n/a,1,20,single,0
3801,Geologia,EETI- Professora Maria Izabel Desterro e Silva,0,full-time school,2017,1,1,1,0,0,n/a,n/a,n/a,0,n/a,n/a,n/a,n/a,1,20,single,0
3807,Geologia,CETI - João dos Santos Braga,0,full-time school,2017,1,0,1,0,0,n/a,n/a,n/a,0,n/a,n/a,n/a,n/a,1,19,single,0
3812,Matemática Aplicada,ESCOLA ESTADUAL PROFESSOR MAURICIO HAMOY,0,morning shift,2017,1,0,0,0,0,n/a,n/a,n/a,0,n/a,n/a,n/a,n/a,1,20,single,0
3816,Geologia,escola estadual marcio nery,0,afternoon shift,2015,1,0,1,0,0,n/a,n/a,n/a,0,n/a,n/a,n/a,n/a,0,24,single,0
3817,Geologia,FUNDAÇÃO BRADESCO,1,night shift,2011,1,0,1,0,0,n/a,n/a,n/a,1,CIÊNCIAS AMBIENTAIS,UNIVERSIDADE FEDERAL DE GOIÁS,2012,2014,1,25,single,0
3831,Geologia,Colégio Santa Dorotéia,1,morning shift,2017,1,0,1,0,0,n/a,n/a,n/a,0,n/a,n/a,n/a,n/a,0,20,single,0
3855,Geologia,Colégio Militar da Polícia Militar,0,morning shift,2015,1,0,1,0,1,Latam,2016,2018,1,Psicologia,ULBRA,2016,2018,1,1,single,0
3947,Ciência da Computação,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1772,Sistemas de Informação,"Instituto Federal de Educação, Ciência e Tecnologia do Amazonas",-1,full-time school,2015,1,0,1,1,0,n/a,n/a,n/a,0,n/a,n/a,n/a,n/a,1,22,single,0
1860,Ciência da Computação,La Salle,1,morning shift,2014,1,1,1,1,0,n/a,n/a,n/a,0,n/a,n/a,n/a,n/a,1,22,single,0
2032,Engenharia Elétrica,SEDUC,0,morning shift,2015,1,1,1,0,1,Espetico Gourmet,2015,0,1,Engenharia Elétrica,UNINORTE,2015,2015,1,24,single,0
2197,Matemática - Bacharelado,Escola Estadual Solon de Lucena,0,morning shift,2014,0,0,0,1,0,n/a,n/a,n/a,0,n/a,n/a,n/a,n/a,1,21,single,0
2811,Engenharia Elétrica,Colégio amazonense Dom pedro II,0,morning shift,2015,1,1,1,0,0,n/a,n/a,n/a,0,n/a,n/a,n/a,n/a,1,22,single,0
2837,Engenharia Elétrica,Instituto Batista Ida Nelson,1,morning shift,2016,1,0,1,0,0,n/a,n/a,n/a,0,n/a,n/a,n/a,n/a,1,22,single,0
2916,Engenharia da Computação,hjhggjk,0,afternoon shift,2018,1,0,1,1,0,n/a,n/a,n/a,0,n/a,n/a,n/a,n/a,1,7,widower,1
3152,Ciência da Computação,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
3650,Engenharia de Produção,idaam,1,morning shift,2017,1,0,1,1,0,n/a,n/a,n/a,0,n/a,n/a,n/a,n/a,1,20,single,0
3654,Engenharia Elétrica,CENTRO EDUCACIONAL SANTA TERESINHA,1,morning shift,2016,1,0,1,1,0,n/a,n/a,n/a,0,n/a,n/a,n/a,n/a,0,20,single,0
3657,Engenharia Elétrica,Instituto Denizard Rivail,1,morning shift,2018,1,1,1,0,0,n/a,n/a,n/a,0,n/a,n/a,n/a,n/a,1,20,single,0
3658,Engenharia Elétrica,Colegio Dom Amando,1,morning shift,2017,1,0,1,1,0,n/a,n/a,n/a,0,n/a,n/a,n/a,n/a,1,19,single,0
3704,Engenharia Elétrica,CETI Gilberto Mestrinho de Medeiros Raposo,0,full-time school,2017,0,0,0,0,0,n/a,n/a,n/a,0,n/a,n/a,n/a,n/a,1,19,single,0
3710,Engenharia Elétrica,IFAM,-1,full-time school,2017,1,1,1,1,0,n/a,n/a,n/a,0,n/a,n/a,n/a,n/a,0,20,single,0
3711,Engenharia Elétrica,INSTITUTO DE EDUCAÇÃO DO AMAZONAS - I.E.A,0,full-time school,2017,1,0,0,1,0,n/a,n/a,n/a,0,n/a,n/a,n/a,n/a,1,19,single,0
3712,Engenharia Elétrica,nokia,-1,full-time school,2015,1,0,1,0,0,n/a,n/a,n/a,0,n/a,n/a,n/a,n/a,1,23,single,0
3713,Engenharia Elétrica,professora nayr lemos,0,morning shift,2009,1,0,1,0,1,perform informatica,0,0,0,n/a,n/a,n/a,n/a,1,28,married,1
3714,Engenharia Elétrica,Escola Estadual Antônio Encarnação Filho,0,afternoon shift,2013,1,0,1,0,1,Honda Lock ,2014,2014,1,Processos Gerenciais,Faculdade Salesiana Dom Bosco - Leste,2014,2016,0,24,single,0
3715,Ciência da Computação,fucapi,-1,full-time school,2018,1,0,1,1,0,n/a,n/a,n/a,0,n/a,n/a,n/a,n/a,1,19,single,0
3716,Engenharia Elétrica,Antonio Lucena Bittencourt,-1,full-time school,2017,1,1,0,1,0,n/a,n/a,n/a,0,n/a,n/a,n/a,n/a,0,19,single,0
3780,Engenharia Elétrica,Escola Estadual João Bosco Pantoja Evangelista ,0,morning shift,2017,1,1,1,0,1,Fundação Hospital Adriano Jorge ,2016,2017,0,n/a,n/a,n/a,n/a,1,19,single,0
3782,Engenharia Elétrica,Colégio Militar da Polícia Militar,0,morning shift,2017,1,1,1,0,0,n/a,n/a,n/a,0,n/a,n/a,n/a,n/a,1,20,single,0
3821,Ciência da Computação,ESCOLA ESTADUAL PROFESSOR MAURICIO HAMOY,0,morning shift,2017,1,0,1,1,0,n/a,n/a,n/a,0,n/a,n/a,n/a,n/a,1,1,single,0
1216,Matemática - Licenciatura Noturno,Colégio Militar da Polícia Militar ,0,morning shift,2014,1,0,1,1,0,n/a,n/a,n/a,0,n/a,n/a,n/a,n/a,1,23,single,0
